[woss_All] -2016-11-22 11:21:31,261   -------开始入库服务器接收端：
[woss_All] -2016-11-22 11:21:35,051   -------开始入库：采集模块：
[woss_All] -2016-11-22 11:21:35,061   -------开始入库：读取文件名：skip
[woss_All] -2016-11-22 11:21:35,071   -------开始入库：读取文件名：map
[woss_All] -2016-11-22 11:21:35,465   -------开始入库：文件名：skip
[woss_All] -2016-11-22 11:21:35,475   -------skip备份文件
[woss_All] -2016-11-22 11:21:35,475   -------开始入库：文件名：map
[woss_All] -2016-11-22 11:21:35,505   -------map备份文件
[woss_All] -2016-11-22 11:21:35,515   -------完整:43914 不完整:502入库结束
[woss_All] -2016-11-22 11:21:35,515   -------开始入库：客户端发送端：
[woss_All] -2016-11-22 11:21:35,525   -------127.0.0.1   8889
[woss_All] -2016-11-22 11:21:35,535   -------Client:/127.0.0.1:1408
[woss_All] -2016-11-22 11:21:45,406   -------入库完成
[woss_All] -2016-11-22 11:21:45,406   -------持久化开始入库
[woss_All] -2016-11-22 11:21:45,550   -------用户：briup
[woss_All] -2016-11-22 11:21:45,560   -------开始入库：读取文件名：rollback
[woss_All] -2016-11-22 11:21:45,630   -------insert into T_DETAIL_25 values(?,?,?,?,?,?)
[woss_All] -2016-11-22 11:21:46,620   -------insert into T_DETAIL_26 values(?,?,?,?,?,?)
[woss_All] -2016-11-22 11:21:46,721   -------insert into T_DETAIL_22 values(?,?,?,?,?,?)
[woss_All] -2016-11-22 11:21:46,731   -------结束入库
[woss_All] -2016-11-22 11:21:54,101   -------开始入库：采集模块：
[woss_All] -2016-11-22 11:21:54,111   -------开始入库：读取文件名：skip
[woss_All] -2016-11-22 11:21:54,121   -------skip备份文件
[woss_All] -2016-11-22 11:21:54,131   -------开始入库：读取文件名：skip
[woss_All] -2016-11-22 11:21:54,131   -------skip备份文件
[woss_All] -2016-11-22 11:21:54,131   -------开始入库：读取文件名：map
[woss_All] -2016-11-22 11:21:54,171   -------map备份文件
[woss_All] -2016-11-22 11:21:54,181   -------开始入库：读取文件名：map
[woss_All] -2016-11-22 11:21:54,211   -------map备份文件
[woss_All] -2016-11-22 11:21:54,251   -------开始入库：文件名：skip
[woss_All] -2016-11-22 11:21:54,261   -------skip备份文件
[woss_All] -2016-11-22 11:21:54,261   -------开始入库：文件名：map
[woss_All] -2016-11-22 11:21:54,321   -------map备份文件
[woss_All] -2016-11-22 11:21:54,321   -------完整:0 不完整:502入库结束
[woss_All] -2016-11-22 11:21:54,331   -------开始入库：客户端发送端：
[woss_All] -2016-11-22 11:21:54,331   -------127.0.0.1   8889
[woss_All] -2016-11-22 11:21:54,341   -------入库完成
[woss_All] -2016-11-22 11:21:54,341   -------Client:/127.0.0.1:1411
[woss_All] -2016-11-22 11:21:54,351   -------持久化开始入库
[woss_All] -2016-11-22 11:21:54,403   -------用户：briup
[woss_All] -2016-11-22 11:21:54,403   -------开始入库：读取文件名：rollback
[woss_All] -2016-11-22 11:21:54,413   -------结束入库
[woss_All] -2016-11-22 11:22:06,534   -------服务器入库结束
[woss_All] -2016-11-22 11:22:16,958   -------开始入库服务器接收端：
[woss_All] -2016-11-22 11:22:19,118   -------开始入库：采集模块：
[woss_All] -2016-11-22 11:22:19,128   -------开始入库：读取文件名：skip
[woss_All] -2016-11-22 11:22:19,138   -------skip备份文件
[woss_All] -2016-11-22 11:22:19,138   -------开始入库：读取文件名：skip
[woss_All] -2016-11-22 11:22:19,148   -------skip备份文件
[woss_All] -2016-11-22 11:22:19,158   -------开始入库：读取文件名：map
[woss_All] -2016-11-22 11:22:19,188   -------map备份文件
[woss_All] -2016-11-22 11:22:19,198   -------开始入库：读取文件名：map
[woss_All] -2016-11-22 11:22:19,228   -------map备份文件
[woss_All] -2016-11-22 11:22:19,268   -------开始入库：文件名：skip
[woss_All] -2016-11-22 11:22:19,268   -------skip备份文件
[woss_All] -2016-11-22 11:22:19,278   -------开始入库：文件名：map
[woss_All] -2016-11-22 11:22:19,318   -------map备份文件
[woss_All] -2016-11-22 11:22:19,318   -------完整:0 不完整:502入库结束
[woss_All] -2016-11-22 11:22:19,328   -------开始入库：客户端发送端：
[woss_All] -2016-11-22 11:22:19,338   -------Client:/127.0.0.1:1414
[woss_All] -2016-11-22 11:22:19,338   -------127.0.0.1   8889
[woss_All] -2016-11-22 11:22:19,348   -------入库完成
[woss_All] -2016-11-22 11:22:19,348   -------持久化开始入库
[woss_All] -2016-11-22 11:22:19,516   -------用户：briup
[woss_All] -2016-11-22 11:22:19,526   -------开始入库：读取文件名：rollback
[woss_All] -2016-11-22 11:22:19,526   -------结束入库
[woss_All] -2016-11-22 11:22:27,686   -------开始入库：采集模块：
[woss_All] -2016-11-22 11:22:27,696   -------开始入库：读取文件名：skip
[woss_All] -2016-11-22 11:22:27,706   -------skip备份文件
[woss_All] -2016-11-22 11:22:27,716   -------开始入库：读取文件名：skip
[woss_All] -2016-11-22 11:22:27,716   -------skip备份文件
[woss_All] -2016-11-22 11:22:27,726   -------开始入库：读取文件名：map
[woss_All] -2016-11-22 11:22:27,766   -------map备份文件
[woss_All] -2016-11-22 11:22:27,766   -------开始入库：读取文件名：map
[woss_All] -2016-11-22 11:22:27,796   -------map备份文件
[woss_All] -2016-11-22 11:22:27,826   -------开始入库：文件名：skip
[woss_All] -2016-11-22 11:22:27,846   -------skip备份文件
[woss_All] -2016-11-22 11:22:27,846   -------开始入库：文件名：map
[woss_All] -2016-11-22 11:22:27,896   -------map备份文件
[woss_All] -2016-11-22 11:22:27,896   -------完整:0 不完整:502入库结束
[woss_All] -2016-11-22 11:22:27,906   -------开始入库：客户端发送端：
[woss_All] -2016-11-22 11:22:27,916   -------Client:/127.0.0.1:1416
[woss_All] -2016-11-22 11:22:27,916   -------127.0.0.1   8889
[woss_All] -2016-11-22 11:22:27,916   -------持久化开始入库
